,bin,timestamp_index,ind,timestamp,views,views_adjusted,percent_traffic
445,446,891,68.0,20200610,38629,38797,7.840386177694485e-05
446,447,893,69.0,20200612,36863,38351,7.75078190162422e-05
447,448,895,70.0,20200614,37411,36520,7.382310255228908e-05
448,449,897,71.0,20200616,35659,36756,7.427525811188549e-05
449,450,899,72.0,20200618,40169,41078,8.299925027929571e-05
450,451,901,73.0,20200620,36545,37318,7.535024746561468e-05
451,452,903,74.0,20200622,34250,35391,7.151752252176572e-05
452,453,905,75.0,20200624,43647,47053,9.509661528079616e-05
453,454,907,76.0,20200626,48803,51958,0.0001048649060974
454,455,909,77.0,20200628,41470,41497,8.38883869037755e-05
455,456,911,78.0,20200630,35534,37974,7.676621040301316e-05
